index,lat,lon,deg,speed
0,-40.0,110.0,329.502,7.76
1,-40.0,112.0,326.502,7.21
2,-40.0,114.0,301.002,6.96
3,-40.0,116.0,298.002,6.91
4,-40.0,118.0,302.002,6.56
5,-40.0,120.0,297.002,5.61
6,-40.0,122.0,281.002,4.81
7,-40.0,124.0,274.002,6.16
8,-40.0,126.0,264.502,8.51
9,-40.0,128.0,261.002,8.61
10,-40.0,130.0,255.502,9.41
11,-40.0,132.0,255.502,11.21
12,-40.0,134.0,257.502,12.31
13,-40.0,136.0,264.502,13.46
14,-40.0,138.0,273.502,13.01
15,-40.0,140.0,277.502,12.26
16,-40.0,142.0,260.502,14.36
17,-40.0,144.0,253.502,15.66
18,-40.0,146.0,255.002,15.56
19,-40.0,148.0,259.002,13.16
20,-40.0,150.0,250.502,14.21
21,-40.0,152.0,244.002,12.31
22,-40.0,154.0,239.002,13.21
23,-40.0,156.0,243.002,14.26
24,-40.0,158.0,249.502,14.66
25,-40.0,160.0,258.502,16.16
25,-38.0,110.0,17.0016,3.06
26,-38.0,112.0,4.00165,3.71
27,-38.0,114.0,359.502,3.66
28,-38.0,116.0,30.0016,2.06
29,-38.0,118.0,352.002,2.61
30,-38.0,120.0,335.002,3.01
31,-38.0,122.0,282.002,4.41
32,-38.0,124.0,256.002,5.46
33,-38.0,126.0,260.502,6.91
34,-38.0,128.0,251.502,8.16
35,-38.0,130.0,261.502,8.61
36,-38.0,132.0,263.502,9.41
37,-38.0,134.0,261.002,10.06
38,-38.0,136.0,268.502,9.61
39,-38.0,138.0,268.502,8.61
40,-38.0,140.0,253.002,9.51
41,-38.0,142.0,251.502,6.21
42,-38.0,144.0,270.0,8.2
43,-38.0,146.0,274.502,2.21
44,-38.0,148.0,259.002,6.96
45,-38.0,150.0,253.502,15.36
46,-38.0,152.0,249.002,16.01
47,-38.0,154.0,251.002,14.31
48,-38.0,156.0,258.502,13.66
49,-38.0,158.0,267.002,14.66
50,-38.0,160.0,267.502,14.66
50,-36.0,110.0,45.0016,4.81
51,-36.0,112.0,38.0016,3.66
52,-36.0,114.0,57.5016,1.96
53,-36.0,116.0,63.0016,1.86
54,-36.0,118.0,346.502,2.96
55,-36.0,120.0,3.00165,1.91
56,-36.0,122.0,304.002,2.46
57,-36.0,124.0,289.002,3.91
58,-36.0,126.0,290.002,5.01
59,-36.0,128.0,253.502,6.11
60,-36.0,130.0,266.002,6.61
61,-36.0,132.0,269.502,6.56
62,-36.0,134.0,268.002,6.91
63,-36.0,136.0,260.502,7.06
64,-36.0,138.0,256.502,6.61
65,-36.0,140.0,249.502,5.71
66,-36.0,142.0,235.502,6.01
67,-36.0,144.0,255.002,4.56
68,-36.0,146.0,300.0,3.6
69,-36.0,148.0,261.502,1.21
70,-36.0,150.0,287.502,1.16
71,-36.0,152.0,238.002,8.56
72,-36.0,154.0,250.502,10.31
73,-36.0,156.0,258.002,10.66
74,-36.0,158.0,264.502,11.71
75,-36.0,160.0,263.502,12.71
75,-34.0,110.0,92.5016,3.91
76,-34.0,112.0,88.5016,2.26
77,-34.0,114.0,47.5016,2.91
78,-34.0,116.0,21.0016,3.71
79,-34.0,118.0,331.502,2.46
80,-34.0,120.0,304.502,2.51
81,-34.0,122.0,328.002,3.96
82,-34.0,124.0,324.002,2.91
83,-34.0,126.0,308.002,1.86
84,-34.0,128.0,218.502,1.11
85,-34.0,130.0,221.002,2.11
86,-34.0,132.0,233.002,2.46
87,-34.0,134.0,230.502,1.91
88,-34.0,136.0,240.002,2.96
89,-34.0,138.0,241.002,3.21
90,-34.0,140.0,237.502,3.56
91,-34.0,142.0,238.002,4.71
92,-34.0,144.0,231.502,4.36
93,-34.0,146.0,235.002,4.26
94,-34.0,148.0,232.002,4.91
95,-34.0,150.0,255.002,2.51
96,-34.0,152.0,234.502,5.66
97,-34.0,154.0,259.502,8.36
98,-34.0,156.0,258.002,9.26
99,-34.0,158.0,267.502,8.86
100,-34.0,160.0,259.002,8.86
100,-32.0,110.0,73.0016,4.11
101,-32.0,112.0,81.0016,3.61
102,-32.0,114.0,38.5016,5.51
103,-32.0,116.0,70.0,4.6
104,-32.0,118.0,31.5016,3.61
105,-32.0,120.0,39.0016,2.61
106,-32.0,122.0,32.0016,2.31
107,-32.0,124.0,24.5016,1.16
108,-32.0,126.0,342.502,2.01
109,-32.0,128.0,199.502,2.06
110,-32.0,130.0,96.0016,1.61
111,-32.0,132.0,137.502,1.26
112,-32.0,134.0,137.502,2.06
113,-32.0,136.0,141.502,2.11
114,-32.0,138.0,188.502,1.91
115,-32.0,140.0,201.002,2.71
116,-32.0,142.0,205.002,3.86
117,-32.0,144.0,217.502,4.81
118,-32.0,146.0,214.502,4.81
119,-32.0,148.0,230.0,6.2
120,-32.0,150.0,232.002,3.81
121,-32.0,152.0,250.0,3.1
122,-32.0,154.0,250.002,8.06
123,-32.0,156.0,279.002,6.26
124,-32.0,158.0,264.502,5.71
125,-32.0,160.0,258.002,7.51
125,-30.0,110.0,82.0016,4.06
126,-30.0,112.0,54.0016,5.66
127,-30.0,114.0,31.0016,7.36
128,-30.0,116.0,38.0016,4.56
129,-30.0,118.0,42.0016,5.61
130,-30.0,120.0,54.0016,4.36
131,-30.0,122.0,61.0016,3.11
132,-30.0,124.0,64.5016,2.41
