index,lat,lon,deg,speed
0,40.0,30.0,324.501,1.42
1,40.0,30.5,270.0,3.1
2,40.0,31.0,270.0,3.1
3,40.0,31.5,326.501,1.47
4,40.0,32.0,16.5012,1.02
5,40.0,32.5,200.0,1.5
6,40.0,33.0,200.0,1.5
7,40.0,33.5,200.0,1.5
8,40.0,34.0,40.5012,2.22
9,40.0,34.5,59.5012,2.42
10,40.0,35.0,59.5012,2.42
11,40.0,35.5,44.5012,1.62
12,40.0,36.0,0.0,1.0
13,40.0,36.5,0.0,1.0
14,40.0,37.0,100.0,5.1
15,40.0,37.5,100.0,5.1
16,40.0,38.0,286.501,0.42
17,40.0,38.5,285.001,1.22
18,40.0,39.0,0.0,1.5
19,40.0,39.5,0.0,1.5
20,40.0,40.0,0.0,1.5
21,40.0,40.5,90.0,3.1
22,40.0,41.0,90.0,3.1
23,40.0,41.5,90.0,3.1
24,40.0,42.0,112.001,1.52
25,40.0,42.5,10.0,2.1
26,40.0,43.0,20.0,3.1
27,40.0,43.5,10.0,2.1
28,40.0,44.0,130.0,3.6
29,40.0,44.5,130.0,3.6
30,40.0,45.0,130.0,3.6
31,40.0,45.5,203.501,1.12
32,40.0,46.0,207.501,0.42
33,40.0,46.5,207.501,0.42
34,40.0,47.0,102.001,2.97
35,40.0,47.5,76.5012,2.42
36,40.0,48.0,108.001,1.97
37,40.0,48.5,150.001,2.07
38,40.0,49.0,137.001,2.22
39,40.0,49.5,310.0,4.6
40,40.0,50.0,310.0,4.6
41,40.0,50.5,310.0,4.6
42,40.0,51.0,133.001,3.92
43,40.0,51.5,143.001,2.97
44,40.0,52.0,159.001,1.87
45,40.0,52.5,140.0,8.2
46,40.0,53.0,140.0,8.2
47,40.0,53.5,140.0,8.2
48,40.0,54.0,116.001,5.97
49,40.0,54.5,121.001,7.32
50,40.0,55.0,121.001,5.72
51,40.0,55.5,112.501,5.92
52,40.0,56.0,112.501,5.92
53,40.0,56.5,107.001,6.27
54,40.0,57.0,104.001,6.07
55,40.0,57.5,100.001,5.97
56,40.0,58.0,89.5012,5.42
57,40.0,58.5,76.5012,4.87
58,40.0,59.0,76.5012,4.87
59,40.0,59.5,65.5012,4.87
60,40.0,60.0,54.5012,4.92
61,40.0,60.5,45.0012,4.87
62,40.0,61.0,36.5012,4.82
63,40.0,61.5,36.5012,4.82
64,40.0,62.0,31.5012,4.92
65,40.0,62.5,34.0012,5.27
66,40.0,63.0,49.0012,6.62
67,40.0,63.5,48.0012,7.87
68,40.0,64.0,40.0,4.1
69,40.0,64.5,40.0,4.1
