index,lat,lon,deg,speed
0,60.0,-110.0,47.5025,4.28
1,60.0,-109.36364,39.0025,4.13
2,60.0,-108.72727,38.0025,4.33
3,60.0,-108.09091,36.0025,3.48
4,60.0,-107.454544,27.0025,3.48
5,60.0,-106.818184,3.0025,2.38
6,60.0,-106.181816,355.003,1.63
7,60.0,-105.545456,353.503,1.93
8,60.0,-104.90909,347.503,2.23
9,60.0,-104.27273,343.503,2.43
10,60.0,-103.63636,340.503,3.13
11,60.0,-103.0,323.003,2.68
12,60.0,-102.36364,299.003,1.93
13,60.0,-101.72727,292.003,1.88
14,60.0,-101.09091,272.503,1.33
15,60.0,-100.454544,279.503,1.23
16,60.0,-99.818184,294.003,1.28
17,60.0,-99.181816,307.503,1.48
18,60.0,-98.545456,322.503,1.33
19,60.0,-97.90909,351.003,1.53
20,60.0,-97.27273,357.503,2.33
21,60.0,-96.63637,16.5025,2.08
22,60.0,-96.0,58.0025,2.53
23,60.0,-95.36364,36.5025,2.33
24,60.0,-94.72727,26.5025,3.88
25,60.0,-94.09091,23.5025,4.78
26,60.0,-93.454544,20.0025,4.63
27,60.0,-92.818184,17.0025,4.58
28,60.0,-92.181816,16.0025,4.53
29,60.0,-91.545456,17.0025,4.48
30,60.0,-90.90909,15.5025,4.53
31,60.0,-90.27273,11.0025,5.08
32,60.0,-89.63637,9.0025,5.18
33,60.0,-89.0,10.0025,5.03
34,60.0,-88.36363,18.0025,4.58
35,60.0,-87.72727,34.0025,4.13
36,60.0,-87.09091,65.5025,3.93
37,60.0,-86.454544,92.5025,4.83
38,60.0,-85.818184,101.503,5.88
39,60.0,-85.181816,104.503,6.48
40,60.0,-84.545456,110.003,7.03
41,60.0,-83.90909,116.003,7.28
42,60.0,-83.27273,120.003,7.63
43,60.0,-82.63636,122.503,7.88
44,60.0,-82.0,125.003,7.93
45,60.0,-81.36363,129.003,7.78
46,60.0,-80.72727,133.503,7.73
47,60.0,-80.09091,136.503,7.93
48,60.0,-79.454544,136.003,7.78
49,60.0,-78.818184,136.003,7.48
50,60.0,-78.181816,130.0,5.7
51,60.0,-77.545456,130.0,5.7
52,60.0,-76.90909,130.0,5.7
53,60.0,-76.27273,130.0,5.7
54,60.0,-75.63637,147.503,3.43
55,60.0,-75.0,151.003,3.13
56,60.0,-74.36363,150.503,2.78
57,60.0,-73.72727,143.503,2.18
58,60.0,-73.09091,156.503,2.13
59,60.0,-72.454544,189.003,2.08
60,60.0,-71.81818,221.003,2.13
61,60.0,-71.181816,240.003,2.13
62,60.0,-70.545456,258.003,2.23
63,60.0,-69.90909,270.503,2.53
64,60.0,-69.27273,276.503,3.93
65,60.0,-68.63637,268.003,3.33
66,60.0,-68.0,241.003,2.98
67,60.0,-67.36363,213.503,3.38
68,60.0,-66.72727,207.503,3.38
69,60.0,-66.09091,212.003,3.48
70,60.0,-65.454544,219.003,4.63
71,60.0,-64.818184,240.003,4.23
72,60.0,-64.18182,264.003,5.53
