index,lat,lon,deg,speed
0,-10.0,110.0,92.5018,7.36
1,-10.0,110.5,95.0018,7.71
2,-10.0,111.0,96.5018,8.06
3,-10.0,111.5,96.5018,8.06
4,-10.0,112.0,98.5018,7.86
5,-10.0,112.5,102.502,7.51
6,-10.0,113.0,106.503,7.92
7,-10.0,113.5,107.002,7.26
8,-10.0,114.0,107.002,7.16
9,-10.0,114.5,110.002,7.36
10,-10.0,115.0,112.002,7.71
11,-10.0,115.5,112.002,7.71
12,-10.0,116.0,113.502,7.81
13,-10.0,116.5,114.502,7.81
14,-10.0,117.0,117.502,7.66
15,-10.0,117.5,121.002,7.81
16,-10.0,118.0,124.502,8.41
17,-10.0,118.5,126.002,9.16
18,-10.0,119.0,126.002,9.16
19,-10.0,119.5,128.502,9.86
20,-10.0,120.0,122.502,7.21
21,-10.0,120.5,107.503,3.77
22,-10.0,121.0,112.002,6.46
23,-10.0,121.5,113.002,7.36
24,-10.0,122.0,113.002,7.36
25,-10.0,122.5,117.502,8.36
26,-10.0,123.0,122.002,9.31
27,-10.0,123.5,113.502,7.46
28,-10.0,124.0,97.5026,6.52
29,-10.0,124.5,97.5018,6.16
30,-10.0,125.0,93.0018,5.71
31,-10.0,125.5,99.5026,6.42
32,-10.0,126.0,98.5018,5.11
33,-10.0,126.5,105.502,5.16
34,-10.0,127.0,109.002,5.46
35,-10.0,127.5,112.003,5.82
36,-10.0,128.0,108.002,5.76
37,-10.0,128.5,106.502,6.16
38,-10.0,129.0,106.502,6.41
39,-10.0,129.5,106.002,6.81
40,-10.0,130.0,105.503,7.37
41,-10.0,130.5,106.502,8.26
42,-10.0,131.0,106.502,8.26
43,-10.0,131.5,107.502,8.61
44,-10.0,132.0,109.502,8.81
45,-10.0,132.5,112.002,8.91
46,-10.0,133.0,114.002,9.11
47,-10.0,133.5,114.002,9.11
48,-10.0,134.0,113.002,9.46
49,-10.0,134.5,114.002,9.76
50,-10.0,135.0,117.502,9.96
51,-10.0,135.5,121.502,10.31
52,-10.0,136.0,124.002,10.36
53,-10.0,136.5,124.002,10.36
54,-10.0,137.0,123.002,10.06
55,-10.0,137.5,120.502,10.01
56,-10.0,138.0,118.502,9.81
57,-10.0,138.5,116.502,9.71
58,-10.0,139.0,114.502,9.71
59,-10.0,139.5,114.502,9.71
60,-10.0,140.0,110.502,9.86
61,-10.0,140.5,109.002,10.61
62,-10.0,141.0,111.502,10.91
63,-10.0,141.5,116.502,11.61
64,-10.0,142.0,121.502,11.66
65,-10.0,142.5,130.0,7.7
66,-10.0,143.0,126.002,11.66
67,-10.0,143.5,128.502,11.01
68,-10.0,144.0,127.002,10.66
69,-10.0,144.5,123.002,11.01
70,-10.0,145.0,121.502,11.51
71,-10.0,145.5,121.502,11.51
72,-10.0,146.0,120.002,11.86
73,-10.0,146.5,120.002,12.11
74,-10.0,147.0,150.0,8.7
75,-10.0,147.5,117.002,12.41
76,-10.0,148.0,114.002,9.71
77,-10.0,148.5,118.502,5.56
78,-10.0,149.0,118.502,5.56
79,-10.0,149.5,103.502,2.36
80,-10.0,150.0,122.002,1.41
81,-10.0,150.5,123.502,5.56
82,-10.0,151.0,120.502,6.71
83,-10.0,151.5,120.502,6.71
84,-10.0,152.0,121.502,6.26
85,-10.0,152.5,119.002,7.11
86,-10.0,153.0,123.502,9.51
87,-10.0,153.5,126.002,9.31
88,-10.0,154.0,128.002,8.76
89,-10.0,154.5,128.002,8.76
90,-10.0,155.0,133.002,8.11
91,-10.0,155.5,133.002,6.86
92,-10.0,156.0,121.502,7.81
93,-10.0,156.5,116.002,9.01
94,-10.0,157.0,115.002,8.81
95,-10.0,157.5,115.002,8.81
96,-10.0,158.0,114.002,8.51
97,-10.0,158.5,113.502,8.06
98,-10.0,159.0,112.502,8.56
99,-10.0,159.5,109.502,8.21
100,-10.0,160.0,90.0,4.1
100,-10.5,110.0,89.0018,7.31
101,-10.5,110.5,89.0018,7.71
102,-10.5,111.0,90.5018,7.91
103,-10.5,111.5,92.0018,7.91
104,-10.5,112.0,94.0018,7.81
105,-10.5,112.5,96.5018,7.61
106,-10.5,113.0,96.5018,7.61
107,-10.5,113.5,100.002,7.46
108,-10.5,114.0,104.002,7.46
109,-10.5,114.5,107.502,7.46
110,-10.5,115.0,110.502,7.36
111,-10.5,115.5,110.502,7.36
112,-10.5,116.0,112.002,7.46
113,-10.5,116.5,114.002,7.66
114,-10.5,117.0,115.502,7.81
115,-10.5,117.5,116.502,7.96
116,-10.5,118.0,117.002,8.16
117,-10.5,118.5,116.502,8.26
118,-10.5,119.0,116.502,8.26
119,-10.5,119.5,113.502,8.31
120,-10.5,120.0,122.502,7.21
121,-10.5,120.5,110.002,7.46
122,-10.5,121.0,113.502,7.66
123,-10.5,121.5,113.502,7.66
124,-10.5,122.0,115.002,7.71
125,-10.5,122.5,118.502,7.96
126,-10.5,123.0,114.502,7.16
127,-10.5,123.5,108.502,7.91
128,-10.5,124.0,103.002,7.66
129,-10.5,124.5,103.002,7.66
130,-10.5,125.0,100.002,7.01
131,-10.5,125.5,96.5018,6.46
132,-10.5,126.0,97.5018,5.86
133,-10.5,126.5,104.002,5.61
134,-10.5,127.0,107.002,5.56
135,-10.5,127.5,105.002,5.36
136,-10.5,128.0,105.002,5.36
137,-10.5,128.5,101.502,5.26
138,-10.5,129.0,96.0018,5.41
139,-10.5,129.5,91.0018,5.86
140,-10.5,130.0,93.0018,6.31
141,-10.5,130.5,93.0018,6.31
142,-10.5,131.0,93.5018,7.06
143,-10.5,131.5,92.5018,8.51
144,-10.5,132.0,109.502,8.81
145,-10.5,132.5,101.502,8.76
146,-10.5,133.0,105.002,9.01
147,-10.5,133.5,105.002,9.01
148,-10.5,134.0,107.502,9.16
149,-10.5,134.5,111.002,9.36
150,-10.5,135.0,115.002,9.56
151,-10.5,135.5,119.002,10.06
152,-10.5,136.0,122.502,10.31
153,-10.5,136.5,122.502,10.31
154,-10.5,137.0,125.002,10.06
155,-10.5,137.5,123.002,9.96
156,-10.5,138.0,121.002,9.71
157,-10.5,138.5,120.502,9.31
158,-10.5,139.0,120.002,9.21
159,-10.5,139.5,120.002,9.21
160,-10.5,140.0,117.002,9.06
161,-10.5,140.5,107.502,9.66
162,-10.5,141.0,107.502,10.76
163,-10.5,141.5,113.502,11.71
164,-10.5,142.0,130.0,7.7
165,-10.5,142.5,130.0,7.7
166,-10.5,143.0,126.002,12.06
167,-10.5,143.5,129.002,11.31
168,-10.5,144.0,128.502,10.51
169,-10.5,144.5,124.502,11.56
170,-10.5,145.0,123.502,11.86
171,-10.5,145.5,123.502,11.86
172,-10.5,146.0,120.002,11.86
173,-10.5,146.5,118.502,12.16
174,-10.5,147.0,116.502,12.21
175,-10.5,147.5,114.002,12.26
176,-10.5,148.0,111.502,11.71
177,-10.5,148.5,109.002,11.01
178,-10.5,149.0,109.002,11.01
179,-10.5,149.5,106.502,8.91
180,-10.5,150.0,105.502,6.71
181,-10.5,150.5,114.502,7.01
182,-10.5,151.0,120.002,8.11
183,-10.5,151.5,120.002,8.11
184,-10.5,152.0,121.002,8.16
185,-10.5,152.5,123.502,9.31
186,-10.5,153.0,123.502,9.76
187,-10.5,153.5,123.502,8.96
188,-10.5,154.0,125.002,8.76
189,-10.5,154.5,124.002,7.81
190,-10.5,155.0,124.002,7.81
191,-10.5,155.5,131.502,7.71
192,-10.5,156.0,129.002,7.96
193,-10.5,156.5,122.502,8.71
194,-10.5,157.0,121.002,9.61
195,-10.5,157.5,122.002,9.51
196,-10.5,158.0,122.002,9.51
197,-10.5,158.5,123.002,9.01
198,-10.5,159.0,118.002,8.36
199,-10.5,159.5,115.502,8.76
200,-10.5,160.0,113.502,8.56
200,-11.0,110.0,89.0018,7.31
201,-11.0,110.5,89.0018,7.71
202,-11.0,111.0,90.5018,7.91
