index,lat,lon,deg,speed
0,-90.0,-180.0,271.501,3.76
1,-90.0,-168.75,260.001,3.76
2,-90.0,-157.5,248.501,3.76
3,-90.0,-146.25,237.501,3.76
4,-90.0,-135.0,226.501,3.76
5,-90.0,-123.75,215.001,3.71
6,-90.0,-112.5,204.501,3.66
7,-90.0,-101.25,193.001,3.66
8,-90.0,-90.0,182.001,3.66
9,-90.0,-78.75,170.501,3.66
10,-90.0,-67.5,159.001,3.66
11,-90.0,-56.25,148.501,3.66
12,-90.0,-45.0,137.001,3.66
13,-90.0,-33.75,125.001,3.71
14,-90.0,-22.5,114.001,3.76
15,-90.0,-11.25,102.501,3.81
16,-90.0,0.0,90.5006,3.86
17,-90.0,11.25,79.0006,3.86
18,-90.0,22.5,67.0006,3.91
19,-90.0,33.75,56.5006,3.91
20,-90.0,45.0,45.0006,3.91
21,-90.0,56.25,33.5006,3.91
22,-90.0,67.5,23.0006,3.86
23,-90.0,78.75,12.0006,3.81
24,-90.0,90.0,1.00061,3.76
25,-90.0,101.25,350.001,3.76
26,-90.0,112.5,338.501,3.71
27,-90.0,123.75,328.001,3.66
28,-90.0,135.0,317.001,3.66
29,-90.0,146.25,305.501,3.66
30,-90.0,157.5,294.501,3.66
31,-90.0,168.75,283.001,3.71
32,-90.0,180.0,271.501,3.76
32,-82.5,-180.0,111.501,6.26
33,-82.5,-168.75,95.0006,3.26
34,-82.5,-157.5,226.501,2.21
35,-82.5,-146.25,62.5006,5.21
36,-82.5,-135.0,2.00061,5.91
37,-82.5,-123.75,0.50061,4.81
38,-82.5,-112.5,328.001,4.61
39,-82.5,-101.25,261.001,10.66
40,-82.5,-90.0,228.501,14.71
41,-82.5,-78.75,212.001,10.26
42,-82.5,-67.5,215.501,4.11
43,-82.5,-56.25,55.0006,2.16
44,-82.5,-45.0,210.001,0.56
45,-82.5,-33.75,88.0006,6.31
46,-82.5,-22.5,70.5006,7.71
47,-82.5,-11.25,70.5006,9.31
48,-82.5,0.0,67.0006,7.31
49,-82.5,11.25,121.501,1.91
50,-82.5,22.5,49.0006,0.51
51,-82.5,33.75,342.001,0.71
52,-82.5,45.0,48.0006,3.01
53,-82.5,56.25,32.5006,7.61
54,-82.5,67.5,43.5006,4.41
55,-82.5,78.75,13.0006,1.01
56,-82.5,90.0,251.501,1.96
57,-82.5,101.25,241.001,5.06
58,-82.5,112.5,215.501,7.06
59,-82.5,123.75,211.001,6.56
60,-82.5,135.0,216.501,6.51
61,-82.5,146.25,173.001,2.16
62,-82.5,157.5,232.001,1.66
63,-82.5,168.75,142.501,5.71
64,-82.5,180.0,111.501,6.26
64,-75.0,-180.0,223.501,5.21
65,-75.0,-168.75,332.501,1.51
66,-75.0,-157.5,62.0006,5.91
67,-75.0,-146.25,87.5006,4.76
68,-75.0,-135.0,84.5006,6.81
69,-75.0,-123.75,107.001,5.21
70,-75.0,-112.5,243.501,1.06
71,-75.0,-101.25,160.001,6.86
72,-75.0,-90.0,110.501,2.06
73,-75.0,-78.75,296.501,7.26
74,-75.0,-67.5,293.501,14.76
75,-75.0,-56.25,274.501,4.86
76,-75.0,-45.0,279.501,6.01
77,-75.0,-33.75,221.001,4.56
78,-75.0,-22.5,142.501,1.31
79,-75.0,-11.25,81.5006,1.96
80,-75.0,0.0,68.0006,5.11
81,-75.0,11.25,121.001,1.91
82,-75.0,22.5,232.001,2.36
83,-75.0,33.75,229.501,1.21
84,-75.0,45.0,220.001,1.61
85,-75.0,56.25,178.501,9.16
86,-75.0,67.5,124.001,11.71
87,-75.0,78.75,53.5006,11.46
88,-75.0,90.0,39.5006,6.86
89,-75.0,101.25,254.501,1.46
90,-75.0,112.5,190.001,2.76
91,-75.0,123.75,219.001,1.21
92,-75.0,135.0,218.001,5.06
93,-75.0,146.25,187.501,5.71
94,-75.0,157.5,256.001,4.76
95,-75.0,168.75,342.501,3.71
96,-75.0,180.0,223.501,5.21
96,-67.5,-180.0,99.0006,9.06
97,-67.5,-168.75,190.001,8.81
98,-67.5,-157.5,11.5006,4.31
99,-67.5,-146.25,202.501,6.41
100,-67.5,-135.0,92.5006,5.91
101,-67.5,-123.75,127.501,7.96
102,-67.5,-112.5,61.0006,5.96
103,-67.5,-101.25,41.0006,7.51
104,-67.5,-90.0,359.501,8.86
105,-67.5,-78.75,307.501,5.36
106,-67.5,-67.5,344.501,2.76
107,-67.5,-56.25,317.001,6.06
108,-67.5,-45.0,210.001,8.71
109,-67.5,-33.75,179.501,3.56
110,-67.5,-22.5,145.001,4.71
111,-67.5,-11.25,134.501,8.76
112,-67.5,0.0,121.501,5.31
113,-67.5,11.25,122.001,5.76
114,-67.5,22.5,159.501,3.31
115,-67.5,33.75,94.5006,9.76
116,-67.5,45.0,154.501,3.21
117,-67.5,56.25,139.501,6.11
118,-67.5,67.5,185.001,4.26
119,-67.5,78.75,71.0006,7.46
120,-67.5,90.0,79.5006,15.31
121,-67.5,101.25,108.001,14.31
122,-67.5,112.5,156.501,12.76
123,-67.5,123.75,134.501,10.96
124,-67.5,135.0,148.501,10.21
125,-67.5,146.25,187.501,6.76
126,-67.5,157.5,124.001,15.71
127,-67.5,168.75,92.0006,12.36
128,-67.5,180.0,99.0006,9.06
128,-60.0,-180.0,72.5006,11.31
129,-60.0,-168.75,98.5006,15.01
130,-60.0,-157.5,56.0006,9.61
131,-60.0,-146.25,246.001,8.06
132,-60.0,-135.0,268.001,15.86
133,-60.0,-123.75,328.001,6.86
134,-60.0,-112.5,225.501,1.21
135,-60.0,-101.25,32.0006,10.56
136,-60.0,-90.0,38.5006,14.26
137,-60.0,-78.75,70.0006,4.76
138,-60.0,-67.5,176.001,6.11
139,-60.0,-56.25,190.501,6.61
140,-60.0,-45.0,162.001,16.06
141,-60.0,-33.75,121.501,8.86
142,-60.0,-22.5,170.001,5.46
143,-60.0,-11.25,123.002,6.02
144,-60.0,0.0,59.0006,11.06
145,-60.0,11.25,337.001,6.81
146,-60.0,22.5,269.001,10.16
147,-60.0,33.75,230.501,6.36
148,-60.0,45.0,99.5006,2.11
149,-60.0,56.25,154.501,3.81
150,-60.0,67.5,19.5006,11.81
151,-60.0,78.75,267.001,7.06
152,-60.0,90.0,232.001,11.21
153,-60.0,101.25,276.001,3.11
154,-60.0,112.5,265.501,13.66
155,-60.0,123.75,294.501,11.31
